Feature,Importance
ST_Slope_Up,0.2708107472538852
ST_Slope_Flat,0.18110252917038644
ChestPainType_ASY,0.15179637583206282
ExerciseAngina,0.10614752125717289
Sex,0.04979250158599841
ChestPainType_ATA,0.045787054609706744
FastingBS,0.03833409143404928
Oldpeak,0.02679703077058116
ChestPainType_NAP,0.021798464749358044
MaxHR,0.019297008174226218
ST_Slope_Down,0.013476485167241004
Chol_category_Desirable,0.013421652330559343
RestingECG_LVH,0.012468066590586805
Age,0.008933571434730133
RestingBP,0.008549831439667237
RestingECG_Normal,0.008068787582498155
Chol_category_Borderline High,0.007721755473357694
RestingECG_ST,0.0065728341449069385
Chol_category_High,0.005196966221353676
ChestPainType_TA,0.0039267247776719446
