Feature,Importance
ST_Slope_Up,0.20796467356475742
ST_Slope_Flat,0.14056666311711044
Oldpeak,0.11386769025564175
ExerciseAngina,0.10469091871395476
MaxHR,0.10307138520690219
RestingBP,0.0696833649042638
Age,0.06775501541704385
ChestPainType_ATA,0.0429268702804207
Sex,0.04059452025850295
ChestPainType_NAP,0.029683016065924283
FastingBS,0.027236742103736798
RestingECG_Normal,0.014757104617456095
Chol_category_Borderline High,0.012914635476463784
Chol_category_High,0.010921203587929855
ChestPainType_TA,0.006734583940475238
RestingECG_ST,0.00663161248941617
