Feature,Importance
ST_Slope_Up,0.5993823
ChestPainType_ASY,0.1307063
ExerciseAngina,0.0545442
ST_Slope_Flat,0.053993315
Sex,0.03390834
FastingBS,0.021485662
Oldpeak,0.020838395
RestingECG_LVH,0.019613717
MaxHR,0.012660512
Age,0.00943633
Chol_category_Desirable,0.00811878
RestingBP,0.006785953
RestingECG_Normal,0.005748483
Chol_category_Borderline High,0.0054784035
ChestPainType_NAP,0.004654813
ChestPainType_ATA,0.0043726307
Chol_category_High,0.003106018
ChestPainType_TA,0.002746165
ST_Slope_Down,0.0020087024
RestingECG_ST,0.00041099673
